"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 09 14:21:48 GMT 2023","Sun Jul 09 14:21:51 GMT 2023","3154","chromium","","Add new todo","","","should be able to add a new todo item using API",""
"passed","Sun Jul 09 14:21:55 GMT 2023","Sun Jul 09 14:21:56 GMT 2023","1881","chromium","","Signup New User","","","should be able to register to our application",""
"passed","Sun Jul 09 14:21:51 GMT 2023","Sun Jul 09 14:21:55 GMT 2023","3277","chromium","","Add new todo","","","should be able to delete a todo",""
"passed","Sun Jul 09 14:21:45 GMT 2023","Sun Jul 09 14:21:48 GMT 2023","2982","chromium","","Add new todo","","","should be able to add a new todo",""
